Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
Pennsylvania,2021-01-02,657071,16245,429017,211809,2.4723355619103566
Rhode Island,2021-01-02,87949,1944,5381,80624,2.210371920090052
South Carolina,2021-01-02,307507,5296,151084,151127,1.7222372173641576
South Dakota,2021-01-02,99164,1488,91980,5696,1.5005445524585534
Tennessee,2021-01-02,586802,6907,508914,70981,1.1770580195704854
Texas,2021-01-02,1819793,28359,1435164,319433,1.5905608439019248
Utah,2021-01-02,276612,1269,224439,50904,0.45876534640579586
Vermont,2021-01-02,7412,136,4959,2317,1.834862385321101
Virginia,2021-01-02,354766,5081,30964,318721,1.4322116550063986
Washington,2021-01-02,246752,3461,NA,NA,1.402622876410323
West Virginia,2021-01-02,87820,1361,60316,26143,1.5497608745160556
Wisconsin,2021-01-02,522523,5254,450358,66911,1.005505977727296
Wyoming,2021-01-02,44409,438,42570,1401,0.9862865635344188
Alabama,2022-01-02,896614,16455,NA,NA,1.8352379061669792
Alaska,2022-01-02,157169,978,NA,NA,0.6222601149081561
Arizona,2022-01-02,1389708,24354,NA,NA,1.7524544724503277
Arkansas,2022-01-02,570641,9180,NA,NA,1.608717214500886
California,2022-01-02,5524752,76520,NA,NA,1.3874257739902995
Colorado,2022-01-02,929275,10271,NA,NA,1.1052702375507788
Connecticut,2022-01-02,510188,9160,NA,NA,1.795416591530965
Delaware,2022-01-02,183880,2286,NA,NA,1.2432020883184685
District of Columbia,2022-01-02,94286,1211,NA,NA,1.2843900473028869
Florida,2022-01-02,4209927,62504,NA,NA,1.4846813258282152
Georgia,2022-01-02,1839879,31443,NA,NA,1.708971079076396
Hawaii,2022-01-02,115642,1094,NA,NA,0.9460230712025044
Idaho,2022-01-02,319382,4162,NA,NA,1.3031416923934351
Illinois,2022-01-02,2149548,30254,NA,NA,1.4074586843373584
Indiana,2022-01-02,1246854,19037,NA,NA,1.5268026569269535
Iowa,2022-01-02,575501,7858,NA,NA,1.3654190001407471
Kansas,2022-01-02,520388,7006,NA,NA,1.3463031430394243
Kentucky,2022-01-02,856145,12118,NA,NA,1.4154144449830344
Louisiana,2022-01-02,828695,14986,NA,NA,1.808385473545756
Maine,2022-01-02,146736,1531,NA,NA,1.0433704067168248
Maryland,2022-01-02,700553,11758,NA,NA,1.6783883589107462
Massachusetts,2022-01-02,1140614,20273,NA,NA,1.7773760448319942
Michigan,2022-01-02,1710325,29020,NA,NA,1.6967535409936707
Minnesota,2022-01-02,1022212,10656,NA,NA,1.0424452070607662
Mississippi,2022-01-02,543737,10450,NA,NA,1.9218850289754053
Missouri,2022-01-02,1013458,16227,NA,NA,1.6009543562732742
Montana,2022-01-02,197724,2906,NA,NA,1.4697254759159233
Nebraska,2022-01-02,338257,3338,NA,NA,0.9868236281880346
Nevada,2022-01-02,484641,8419,NA,NA,1.7371621468262075
New Hampshire,2022-01-02,198667,1961,NA,NA,0.987078880740133
New Jersey,2022-01-02,1596644,29053,NA,NA,1.8196291721886653
New Mexico,2022-01-02,350043,5855,NA,NA,1.6726516456549625
New York,2022-01-02,3517696,59585,NA,NA,1.6938643930572743
North Carolina,2022-01-02,1686667,19426,NA,NA,1.1517389028183986
North Dakota,2022-01-02,174626,2057,NA,NA,1.1779460103306496
Ohio,2022-01-02,2016095,31413,NA,NA,1.46059585485803
Oklahoma,2022-01-02,708938,12419,NA,NA,1.7517751904962071
Oregon,2022-01-02,421263,5655,NA,NA,1.3423918074931809
Pennsylvania,2022-01-02,2059613,36714,NA,NA,1.7825678901813111
Rhode Island,2022-01-02,231096,3066,NA,NA,1.3267213625506282
South Carolina,2022-01-02,975320,14636,NA,NA,1.5006356887995735
South Dakota,2022-01-02,179204,2486,NA,NA,1.3872458204057945
Tennessee,2022-01-02,1412302,20842,NA,NA,1.4757466887393773
Texas,2022-01-02,4675575,75744,NA,NA,1.6517690375736895
Utah,2022-01-02,636992,3787,NA,NA,0.5945129609163067
Vermont,2022-01-02,64447,471,NA,NA,0.7308330876534206
Virginia,2022-01-02,1118518,15587,NA,NA,1.3935403811114349
Washington,2022-01-02,849075,9853,NA,NA,1.1604393015929098
West Virginia,2022-01-02,328162,5336,NA,NA,1.6260261700014018
Wisconsin,2022-01-02,1120663,11173,NA,NA,0.996999097855466
Wyoming,2022-01-02,115638,1526,NA,NA,1.319635413964268
Alabama,2021-01-03,369458,4872,202137,162449,1.318688457145332
Alaska,2021-01-03,47821,215,7165,40441,0.44959327492105977
Arizona,2021-01-03,539150,9061,77867,452222,1.6806083650190111
Arkansas,2021-01-03,231442,3729,203701,24012,1.6112028067507194
California,2021-01-03,2482812,26444,NA,NA,1.0646667058542174
Colorado,2021-01-03,339172,4912,18217,316043,1.4482327550623282
Connecticut,2021-01-03,190120,6099,9800,174221,3.20797391121397
Delaware,2021-01-03,58873,1072,18851,38950,1.8208686494657993
District of Columbia,2021-01-03,29509,792,21002,7715,2.683926937544478
Florida,2021-01-03,1354833,21890,NA,NA,1.615697285200464
Georgia,2021-01-03,685122,10960,NA,NA,1.5997150872399368
Hawaii,2021-01-03,22448,289,11958,10201,1.2874198146828226
Idaho,2021-01-03,142199,1448,58649,82102,1.018291267871082
Illinois,2021-01-03,975352,18217,NA,NA,1.8677359558395328
Indiana,2021-01-03,523090,9562,347401,166127,1.8279837121719016
Iowa,2021-01-03,283895,3946,243214,36735,1.3899505098716074
Kansas,2021-01-03,230119,2893,4612,222614,1.2571756352148236
Kentucky,2021-01-03,273970,2698,37273,233999,0.9847793554038764
Louisiana,2021-01-03,315275,7488,263712,44075,2.3750693838712236
Maine,2021-01-03,25245,358,11438,13449,1.4181025945731829
Maryland,2021-01-03,283171,5967,9374,267830,2.1072073058328713
Massachusetts,2021-01-03,384181,12502,261672,110007,3.254195288158446
Michigan,2021-01-03,538121,13306,363611,161204,2.4726780779787445
Minnesota,2021-01-03,417832,5436,398199,14197,1.3010013593980356
Mississippi,2021-01-03,220277,4840,167263,48174,2.197233483296032
Missouri,2021-01-03,448387,5751,NA,NA,1.2825973991217408
Montana,2021-01-03,81944,971,75974,4999,1.1849555794200917
Nebraska,2021-01-03,168262,1669,109705,56888,0.9919054807383724
Nevada,2021-01-03,228871,3148,NA,NA,1.3754473043767013
New Hampshire,2021-01-03,46614,769,37947,7898,1.649718968550221
New Jersey,2021-01-03,541202,19187,56575,465440,3.5452566694136385
New Mexico,2021-01-03,145379,2534,67573,75272,1.7430302863549756
New York,2021-01-03,1011665,38093,103828,869744,3.7653768787098496
North Carolina,2021-01-03,558437,6892,403488,148057,1.2341589113901836
North Dakota,2021-01-03,92891,1317,89582,1992,1.4177907439902682
Ohio,2021-01-03,714673,13919,573641,127113,1.9476040091062623
Oklahoma,2021-01-03,296343,2527,259841,33975,0.8527280887350132
Oregon,2021-01-03,116348,1492,5870,108986,1.282359817100423
Pennsylvania,2021-01-03,664966,16273,453531,195162,2.4471927888042395
Rhode Island,2021-01-03,87949,1957,5381,80611,2.225153213794358
South Carolina,2021-01-03,312718,5385,152535,154798,1.7219987336833824
South Dakota,2021-01-03,99829,1501,92595,5733,1.5035711065922728
Tennessee,2021-01-03,604132,6970,523089,74073,1.1537213721504571
Texas,2021-01-03,1824556,28442,1443061,329678,1.5790750624173806
Utah,2021-01-03,281654,1294,230287,50073,0.45942894473360935
Vermont,2021-01-03,7689,139,5188,2362,1.807777344258031
Virginia,2021-01-03,358755,5117,31182,322456,1.426321584368162
Washington,2021-01-03,246752,3461,NA,NA,1.402622876410323
West Virginia,2021-01-03,89327,1373,61120,26834,1.5370492684182837
Wisconsin,2021-01-03,523652,5256,452502,65894,1.0037200278047254
Wyoming,2021-01-03,44573,438,43037,1098,0.9826576627106096
Alabama,2022-01-03,909541,16455,NA,NA,1.8091542877121536
Alaska,2022-01-03,157169,978,NA,NA,0.6222601149081561
Arizona,2022-01-03,1390409,24355,NA,NA,1.7516428619204854
Arkansas,2022-01-03,572822,9196,NA,NA,1.6053852680239236
California,2022-01-03,5572833,76523,NA,NA,1.374972845710269
Colorado,2022-01-03,929275,10271,NA,NA,1.1052702375507788
Connecticut,2022-01-03,510188,9160,NA,NA,1.795416591530965
Delaware,2022-01-03,186996,2286,NA,NA,1.2224860424821922
District of Columbia,2022-01-03,94286,1211,NA,NA,1.2843900473028869
Florida,2022-01-03,4209927,62504,NA,NA,1.4846813258282152
Georgia,2022-01-03,1839879,31443,NA,NA,1.708971079076396
Hawaii,2022-01-03,118820,1094,NA,NA,0.9207204174381416
Idaho,2022-01-03,319382,4162,NA,NA,1.3031416923934351
Illinois,2022-01-03,2149548,30254,NA,NA,1.4074586843373584
Indiana,2022-01-03,1246854,19037,NA,NA,1.5268026569269535
Iowa,2022-01-03,575501,7858,NA,NA,1.3654190001407471
Kansas,2022-01-03,520388,7006,NA,NA,1.3463031430394243
Kentucky,2022-01-03,856145,12118,NA,NA,1.4154144449830344
Louisiana,2022-01-03,828695,14986,NA,NA,1.808385473545756
Maine,2022-01-03,146736,1531,NA,NA,1.0433704067168248
Maryland,2022-01-03,737199,11870,NA,NA,1.6101486844122144
Massachusetts,2022-01-03,1140614,20273,NA,NA,1.7773760448319942
Michigan,2022-01-03,1710325,29020,NA,NA,1.6967535409936707
Minnesota,2022-01-03,1022212,10656,NA,NA,1.0424452070607662
Mississippi,2022-01-03,543737,10450,NA,NA,1.9218850289754053
Missouri,2022-01-03,1019379,16233,NA,NA,1.592243905358066
Montana,2022-01-03,197724,2906,NA,NA,1.4697254759159233
Nebraska,2022-01-03,338257,3338,NA,NA,0.9868236281880346
Nevada,2022-01-03,484641,8419,NA,NA,1.7371621468262075
New Hampshire,2022-01-03,198667,1961,NA,NA,0.987078880740133
New Jersey,2022-01-03,1623096,29056,NA,NA,1.79015905405472
New Mexico,2022-01-03,350043,5855,NA,NA,1.6726516456549625
New York,2022-01-03,3552059,59682,NA,NA,1.6802085776165316
North Carolina,2022-01-03,1686667,19426,NA,NA,1.1517389028183986
North Dakota,2022-01-03,174742,2057,NA,NA,1.1771640475672709
Ohio,2022-01-03,2053721,31498,NA,NA,1.4338364364000755
Oklahoma,2022-01-03,708938,12419,NA,NA,1.7517751904962071
Oregon,2022-01-03,421263,5655,NA,NA,1.3423918074931809
Pennsylvania,2022-01-03,2077224,36715,NA,NA,1.7675031676891853
Rhode Island,2022-01-03,231096,3066,NA,NA,1.3267213625506282
South Carolina,2022-01-03,975320,14636,NA,NA,1.5006356887995735
South Dakota,2022-01-03,179204,2486,NA,NA,1.3872458204057945
Tennessee,2022-01-03,1412302,20842,NA,NA,1.4757466887393773
Texas,2022-01-03,4730835,75744,NA,NA,1.6508049701120695
Utah,2022-01-03,636992,3787,NA,NA,0.5945129609163067
Vermont,2022-01-03,64447,471,NA,NA,0.7308330876534206
Virginia,2022-01-03,1118518,15587,NA,NA,1.3935403811114349
Washington,2022-01-03,849075,9853,NA,NA,1.1604393015929098
West Virginia,2022-01-03,328162,5336,NA,NA,1.6260261700014018
Wisconsin,2022-01-03,1120663,11173,NA,NA,0.996999097855466
Wyoming,2022-01-03,115638,1526,NA,NA,1.319635413964268
Alabama,2021-01-04,371934,4873,202137,164924,1.3101786876166202
Alaska,2021-01-04,48118,215,7165,40738,0.4468182384970281
Arizona,2021-01-04,556384,9061,78690,468633,1.6285515039972394
Arkansas,2021-01-04,233475,3749,203701,26025,1.605739372523825
California,2021-01-04,2514190,26515,NA,NA,1.0541976468511436
Colorado,2021-01-04,341250,4934,18305,318011,1.4458608058608058
Connecticut,2021-01-04,190120,6099,9800,174221,3.20797391121397
Delaware,2021-01-04,59484,1080,18851,39553,1.8156142828323585
District of Columbia,2021-01-04,29764,794,21072,7898,2.667652197285311
Florida,2021-01-04,1365436,21987,NA,NA,1.6102548929426206
Georgia,2021-01-04,690900,10964,NA,NA,1.586915617310754
Hawaii,2021-01-04,22560,289,11958,10313,1.2810283687943262
Idaho,2021-01-04,142507,1448,60164,80895,1.0160904376627111
Illinois,2021-01-04,979821,18322,NA,NA,1.8699333857918947
Indiana,2021-01-04,526071,9625,348425,168021,1.829600947400636
Iowa,2021-01-04,284715,3946,244021,36748,1.3859473508596316
Kansas,2021-01-04,230119,2893,4612,222614,1.2571756352148236
Kentucky,2021-01-04,276825,2723,37375,236727,0.9836539329901562
Louisiana,2021-01-04,321058,7537,263712,49809,2.347550909804459
Maine,2021-01-04,25592,359,11465,13768,1.4027821194123165
Maryland,2021-01-04,285319,5994,9378,269947,2.1008064657453587
Massachusetts,2021-01-04,387662,12610,261672,113380,3.252833654059464
Michigan,2021-01-04,538121,13306,363611,161204,2.4726780779787445
Minnesota,2021-01-04,420544,5489,403419,11636,1.3052141987520924
Mississippi,2021-01-04,222061,4871,167263,49927,2.193541414296072
Missouri,2021-01-04,451605,5770,NA,NA,1.2776652162841422
Montana,2021-01-04,82381,972,76501,4908,1.179883711049878
Nebraska,2021-01-04,169000,1672,105963,61365,0.9893491124260356
Nevada,2021-01-04,231614,3180,NA,NA,1.372973999844569
New Hampshire,2021-01-04,47376,780,39574,7022,1.646403242147923
New Jersey,2021-01-04,545450,19208,56873,469369,3.5214960124667707
New Mexico,2021-01-04,146394,2551,68876,74967,1.7425577550992526
New York,2021-01-04,1023897,38239,104402,881256,3.7346529973229727
North Carolina,2021-01-04,564924,6910,403488,154526,1.2231733826142983
North Dakota,2021-01-04,93041,1317,89879,1845,1.4155049924226957
Ohio,2021-01-04,721481,14053,579583,127845,1.9477990411389905
Oklahoma,2021-01-04,304375,2547,265293,36535,0.8367967145790555
Oregon,2021-01-04,117745,1500,5870,110375,1.2739394454116948
Pennsylvania,2021-01-04,669818,16331,453531,199956,2.4381249832043927
Rhode Island,2021-01-04,87949,1974,5381,80594,2.2444825978692196
South Carolina,2021-01-04,321669,5469,154943,161257,1.700194920865859
South Dakota,2021-01-04,100532,1513,93031,5988,1.5049934349261926
Tennessee,2021-01-04,608297,7025,526966,74306,1.1548634959567448
Texas,2021-01-04,1840651,28496,1451846,336544,1.5683977971100005
Utah,2021-01-04,283473,1301,232355,49817,0.4589502351193941
Vermont,2021-01-04,7793,140,5272,2381,1.796484024124214
Virginia,2021-01-04,363765,5124,31368,327273,1.408601707146097
Washington,2021-01-04,255396,3459,NA,NA,1.354367335432035
West Virginia,2021-01-04,91058,1376,62264,27418,1.5111247776142678
Wisconsin,2021-01-04,526245,5261,454850,66134,0.9997244629402656
Wyoming,2021-01-04,44875,438,43068,1369,0.9760445682451252
Alabama,2022-01-04,913603,16455,NA,NA,1.8011105480170269
Alaska,2022-01-04,160089,979,NA,NA,0.6115348337487273
Arizona,2022-01-04,1404601,24355,NA,NA,1.733944372814771
Arkansas,2022-01-04,574572,9221,NA,NA,1.6048467380937463
California,2022-01-04,5713575,76540,NA,NA,1.3660051399200457
Colorado,2022-01-04,954499,10293,NA,NA,1.0783667662302423
Connecticut,2022-01-04,533866,9210,NA,NA,1.72515200443557
Delaware,2022-01-04,189382,2286,NA,NA,1.2070840945813224
District of Columbia,2022-01-04,103487,1218,NA,NA,1.176959424855296
Florida,2022-01-04,4209927,62504,NA,NA,1.4846813258282152
Georgia,2022-01-04,1839879,31443,NA,NA,1.708971079076396
Hawaii,2022-01-04,121864,1094,NA,NA,0.8977220508107399
Idaho,2022-01-04,320802,4169,NA,NA,1.2995554890555543
Illinois,2022-01-04,2238743,30431,NA,NA,1.3592895656178492
Indiana,2022-01-04,1278285,19084,NA,NA,1.492937803385004
Iowa,2022-01-04,575501,7858,NA,NA,1.3654190001407471
Kansas,2022-01-04,535014,7049,NA,NA,1.3175356158904252
Kentucky,2022-01-04,879057,12234,NA,NA,1.391718625754644
Louisiana,2022-01-04,859856,15001,NA,NA,1.7445944437208092
Maine,2022-01-04,146736,1531,NA,NA,1.0433704067168248
Maryland,2022-01-04,751450,11896,NA,NA,1.5830727260629451
Massachusetts,2022-01-04,1173704,20315,NA,NA,1.7308452557033118
Michigan,2022-01-04,1775882,29343,NA,NA,1.6523057275201842
Minnesota,2022-01-04,1028986,10704,NA,NA,1.0402473891773063
Mississippi,2022-01-04,561262,10455,NA,NA,1.862766408557857
Missouri,2022-01-04,1021433,16237,NA,NA,1.5894336681896903
Montana,2022-01-04,198520,2908,NA,NA,1.464839814628249
Nebraska,2022-01-04,344392,3338,NA,NA,0.9692443494622408
Nevada,2022-01-04,497084,8427,NA,NA,1.6952869132782389
New Hampshire,2022-01-04,203749,1973,NA,NA,0.9683483109119554
New Jersey,2022-01-04,1644839,29073,NA,NA,1.7675286152626488
New Mexico,2022-01-04,357480,5866,NA,NA,1.6409309611726532
New York,2022-01-04,3684152,59760,NA,NA,1.6220829108028116
North Carolina,2022-01-04,1732568,19457,NA,NA,1.1230150851222
North Dakota,2022-01-04,175100,2057,NA,NA,1.174757281553398
Ohio,2022-01-04,2072663,31609,NA,NA,1.4207326516659968
Oklahoma,2022-01-04,716851,12503,NA,NA,1.7441560380051084
Oregon,2022-01-04,430931,5666,NA,NA,1.3148276638255312
Pennsylvania,2022-01-04,2101019,36799,NA,NA,1.7514834468417468
Rhode Island,2022-01-04,231096,3066,NA,NA,1.3267213625506282
South Carolina,2022-01-04,975320,14636,NA,NA,1.5006356887995735
South Dakota,2022-01-04,179983,2494,NA,NA,1.3856864259402275
Tennessee,2022-01-04,1453766,20893,NA,NA,1.4371638901996608
Texas,2022-01-04,4791710,75967,NA,NA,1.5989087337919143
Utah,2022-01-04,651746,3804,NA,NA,0.5836629607239631
Vermont,2022-01-04,67226,480,NA,NA,0.7140094606253533
Virginia,2022-01-04,1158764,15615,NA,NA,1.3475565343762836
Washington,2022-01-04,882144,9853,NA,NA,1.1169378242101062
West Virginia,2022-01-04,337326,5356,NA,NA,1.5877815525633956
Wisconsin,2022-01-04,1132356,11185,NA,NA,0.9877635655217968
Wyoming,2022-01-04,116643,1526,NA,NA,1.308265390979313
Alabama,2021-01-05,374095,4878,202137,167080,1.3039468584183165
Alaska,2021-01-05,48382,218,7165,40999,0.4505807945103551
Arizona,2021-01-05,561542,9064,79480,472998,1.6141268150913022
Arkansas,2021-01-05,234781,3800,207898,23083,1.6185296084436134
California,2021-01-05,2551267,26783,NA,NA,1.0493676485396108
Colorado,2021-01-05,343435,4944,18403,320088,1.4395737184620088
Connecticut,2021-01-05,194636,6168,9800,178668,3.168992375511211
Delaware,2021-01-05,60333,1085,18851,40397,1.7983524770855088
District of Columbia,2021-01-05,29904,797,21127,7980,2.665195291599786
Florida,2021-01-05,1376692,22090,NA,NA,1.6045709570477638
Georgia,2021-01-05,696063,10971,NA,NA,1.5761504346589317
Hawaii,2021-01-05,22602,289,11958,10355,1.2786479072648438
Idaho,2021-01-05,143305,1459,60820,81026,1.0181082306967657
Illinois,2021-01-05,984880,18412,NA,NA,1.8694663309235644
Indiana,2021-01-05,529688,9735,351569,168384,1.837874371328027
Iowa,2021-01-05,286356,3992,244677,37687,1.3940689212029782
Kansas,2021-01-05,234069,2911,4643,226515,1.2436503765983535
Kentucky,2021-01-05,279142,2749,37455,238938,0.984803433377994
Louisiana,2021-01-05,322181,7585,263712,50884,2.3542667010158884
Maine,2021-01-05,25967,361,11548,14058,1.390226056148188
Maryland,2021-01-05,287802,6027,9383,272392,2.094148060124669
Massachusetts,2021-01-05,392568,12671,261672,118225,3.2277210572435857
Michigan,2021-01-05,543611,13391,363611,166609,2.4633423532636387
Minnesota,2021-01-05,423688,5502,405556,12630,1.2985970808708294
Mississippi,2021-01-05,223677,4884,182103,36690,2.1835056800654513
Missouri,2021-01-05,454015,5772,NA,NA,1.2713236346816734
Montana,2021-01-05,82664,975,76633,5056,1.1794735314042388
Nebraska,2021-01-05,169585,1682,112856,55047,0.9918330040982398
Nevada,2021-01-05,233032,3206,NA,NA,1.3757767173607058
New Hampshire,2021-01-05,47870,781,40347,6742,1.6315019845414664
New Jersey,2021-01-05,547247,19225,57168,470854,3.5130389019948947
New Mexico,2021-01-05,147315,2574,69903,74838,1.7472762447815904
New York,2021-01-05,1035139,38417,104939,891783,3.711289015291666
North Carolina,2021-01-05,570111,6941,487090,76080,1.2174822096047964
North Dakota,2021-01-05,93240,1319,90013,1908,1.4146289146289146
Ohio,2021-01-05,727423,14217,585091,128115,1.9544336651439396
Oklahoma,2021-01-05,307091,2552,267573,36966,0.8310240287081028
Oregon,2021-01-05,118453,1506,5870,111077,1.2713903404725926
Pennsylvania,2021-01-05,673448,16432,465567,191449,2.439980518169183
Rhode Island,2021-01-05,92708,1992,5636,85080,2.148681882901152
South Carolina,2021-01-05,325472,5484,156090,163898,1.6849375675941405
South Dakota,2021-01-05,100643,1513,93099,6031,1.5033335651759188
Tennessee,2021-01-05,612250,7168,530494,74588,1.1707635769701918
Texas,2021-01-05,1858833,28570,1464746,337830,1.560225126778531
Utah,2021-01-05,285633,1305,234298,50030,0.45687998235498
Vermont,2021-01-05,7873,144,5361,2368,1.8290359456369871
Virginia,2021-01-05,367536,5132,31561,330843,1.3963258020982978
Washington,2021-01-05,256435,3482,NA,NA,1.357848967574629
West Virginia,2021-01-05,91886,1396,63128,27362,1.5192738828548418
Wisconsin,2021-01-05,527871,5269,456529,66073,0.9981605354338464
Wyoming,2021-01-05,45257,438,43420,1399,0.9678060852464812
Alabama,2022-01-05,921175,16496,NA,NA,1.7907563709392895
Alaska,2022-01-05,160089,979,NA,NA,0.6115348337487273
Arizona,2022-01-05,1411813,24509,NA,NA,1.7359947811785272
Arkansas,2022-01-05,581134,9248,NA,NA,1.5913713532507132
California,2022-01-05,5796679,76634,NA,NA,1.332768925965707
Colorado,2022-01-05,962777,10335,NA,NA,1.0734573011195738
Connecticut,2022-01-05,544468,9274,NA,NA,1.703314060697782
Delaware,2022-01-05,191649,2286,NA,NA,1.1928055977333565
District of Columbia,2022-01-05,105493,1220,NA,NA,1.1564748371929892
Florida,2022-01-05,4360178,62541,NA,NA,1.4343680464421409
Georgia,2022-01-05,1904918,31494,NA,NA,1.653299512104983
Hawaii,2022-01-05,123456,1094,NA,NA,0.8861456713322965
Idaho,2022-01-05,322524,4188,NA,NA,1.2985080180079622
Illinois,2022-01-05,2263166,30510,NA,NA,1.3481114509496872
Indiana,2022-01-05,1286590,19256,NA,NA,1.4966694906691331
Iowa,2022-01-05,587386,7858,NA,NA,1.3377915033725694
Kansas,2022-01-05,535051,7049,NA,NA,1.31744450529015
Kentucky,2022-01-05,885673,12255,NA,NA,1.3836935302306834
Louisiana,2022-01-05,869146,15018,NA,NA,1.727903022046929
Maine,2022-01-05,148217,1556,NA,NA,1.0498120998266056
Maryland,2022-01-05,765944,11944,NA,NA,1.55938293138924
Massachusetts,2022-01-05,1192549,20410,NA,NA,1.7114600741772454
Michigan,2022-01-05,1775882,29343,NA,NA,1.6523057275201842
Minnesota,2022-01-05,1045170,10740,NA,NA,1.0275840293923475
Mississippi,2022-01-05,566102,10492,NA,NA,1.85337624668346
Missouri,2022-01-05,1047653,16406,NA,NA,1.565842413482052
Montana,2022-01-05,199455,2911,NA,NA,1.4594770750294552
Nebraska,2022-01-05,346860,3344,NA,NA,0.9640777258836418
Nevada,2022-01-05,499613,8467,NA,NA,1.6947117068611104
New Hampshire,2022-01-05,204897,2004,NA,NA,0.978052387297032
New Jersey,2022-01-05,1674453,29151,NA,NA,1.7409267384632474
New Mexico,2022-01-05,359116,5897,NA,NA,1.6420877933592488
New York,2022-01-05,3736399,59865,NA,NA,1.6022111128923866
North Carolina,2022-01-05,1742844,19494,NA,NA,1.1185166314368928
North Dakota,2022-01-05,176329,2060,NA,NA,1.1682706758389148
Ohio,2022-01-05,2093074,31720,NA,NA,1.4177234058614268
Oklahoma,2022-01-05,720961,12512,NA,NA,1.7354614188562207
Oregon,2022-01-05,435453,5710,NA,NA,1.3112781402355709
Pennsylvania,2022-01-05,2122986,36968,NA,NA,1.7413209507740512
Rhode Island,2022-01-05,247324,3096,NA,NA,1.2517992592712393
South Carolina,2022-01-05,1011271,14674,NA,NA,1.45104526877563
South Dakota,2022-01-05,183030,2498,NA,NA,1.3648035841118942
Tennessee,2022-01-05,1462996,20941,NA,NA,1.4313778028101238
Texas,2022-01-05,4845263,76031,NA,NA,1.582422787920464
Utah,2022-01-05,656407,3811,NA,NA,0.5805849114954593
Vermont,2022-01-05,68957,480,NA,NA,0.6960859666168772
Virginia,2022-01-05,1176159,15622,NA,NA,1.3282217795383109
Washington,2022-01-05,888336,9909,NA,NA,1.1154563138272005
West Virginia,2022-01-05,339679,5361,NA,NA,1.5782547640566535
Wisconsin,2022-01-05,1142290,11246,NA,NA,0.9877635655217968
Wyoming,2022-01-05,117389,1572,NA,NA,1.3391373978822547
Alabama,2021-01-06,379593,4886,202137,172570,1.2871680984633542
Alaska,2021-01-06,48582,218,7165,41199,0.4487258655469103
Arizona,2021-01-06,567474,9317,80302,477855,1.641837335278797
Arkansas,2021-01-06,238888,3836,210617,24435,1.6057734168313185
California,2021-01-06,2586569,27196,NA,NA,1.0510007423784475
Colorado,2021-01-06,346893,4991,18534,323368,1.4387721862361016
Connecticut,2021-01-06,196968,6192,9800,180976,3.1436578530522725
Delaware,2021-01-06,61100,1093,18851,41156,1.7888707037643208
District of Columbia,2021-01-06,30166,801,21337,8028,2.655307299608831
